段階,書類名,必須/任意,備考,取得場所,有効期限
申込時,身分証明書,必須,運転免許証・パスポート・マイナンバーカード等,各自保有,-
申込時,収入証明書,必須,源泉徴収票・給与明細3ヶ月分・確定申告書等,勤務先・税務署,最新年度のもの
申込時,在職証明書,必須,勤務先発行,勤務先,発行から3ヶ月以内
申込時,連帯保証人情報,任意,保証会社利用の場合は不要,連帯保証人,-
契約時,住民票,必須,本籍地・マイナンバー記載不要,市区町村役場,発行から3ヶ月以内
契約時,印鑑証明書,任意,実印使用の場合のみ必要,市区町村役場,発行から3ヶ月以内
契約時,連帯保証人の印鑑証明書,任意,保証人を立てる場合のみ,市区町村役場,発行から3ヶ月以内
契約時,銀行口座情報,必須,通帳またはキャッシュカードのコピー,各自保有,-
契約時,初期費用,必須,現金・銀行振込・カード決済,各自準備,-
入居時,入居時チェックリスト,必須,当社が用意,当社,-
入居時,ライフライン申込書,必須,電気・ガス・水道の開栓手続き,各事業者,-
学生の場合,学生証,必須,現在有効なもの,在学中の学校,-
学生の場合,合格通知書,必須,入学前の場合,進学先の学校,-
学生の場合,親の収入証明書,必須,学生本人に収入がない場合,保護者の勤務先,-
法人契約の場合,法人登記簿謄本,必須,現在事項全部証明書,法務局,発行から3ヶ月以内
法人契約の場合,決算書,必須,直近2期分,法人,最新決算期のもの
法人契約の場合,法人印鑑証明書,必須,代表者印,法務局,発行から3ヶ月以内
外国人の場合,在留カード,必須,有効期限内のもの,各自保有,有効期限内
外国人の場合,パスポート,必須,有効期限内のもの,各自保有,有効期限内
外国人の場合,雇用契約書,必須,勤務先発行,勤務先,-
