年月,出来事,カテゴリ,詳細
2010年4月,株式会社東京賃貸ホームズ設立,会社設立,資本金1000万円で設立。従業員5名でスタート
2010年6月,渋谷区に本社オフィス開設,オフィス,渋谷駅徒歩5分の好立地に本社開設
2011年3月,自社管理物件50戸達成,事業拡大,管理物件数が50戸を突破
2012年6月,自社管理物件100戸達成,事業拡大,設立2年で管理物件100戸達成
2012年10月,従業員10名突破,組織拡大,営業スタッフを増員
2013年4月,資本金増資,資本金,資本金を3000万円に増資
2014年8月,SUUMO掲載開始,広告展開,SUUMO等のポータルサイトへ掲載開始
2015年10月,SUUMO優良店認定,受賞・認定,顧客満足度の高さが評価される
2016年3月,自社WEBサイトリニューアル,IT化,物件検索機能を大幅強化
2017年5月,資本金増資,資本金,資本金を5000万円に増資
2018年3月,従業員20名突破,組織拡大,営業・事務スタッフを増員
2018年10月,管理部門設立,組織拡大,賃貸管理専門部署を新設
2019年6月,自社管理物件150戸達成,事業拡大,管理物件数が150戸を突破
2020年4月,コロナ禍対応,社会貢献,オンライン内見システム導入
2020年8月,LINE公式アカウント開設,IT化,LINEでの問い合わせ受付開始
2021年3月,リモート契約対応開始,IT化,電子契約システム導入
2022年6月,従業員30名突破,組織拡大,組織体制を強化
2023年5月,AI物件検索システム導入,IT化,Difyを活用したAI検索システム導入
2024年3月,自社管理物件200戸達成,事業拡大,管理物件数が200戸を突破
2024年10月,従業員35名,組織拡大,現在の組織規模に
2025年9月,LINE×Dify統合システム稼働,IT化,最新のAI技術を活用した物件検索システム稼働
2025年10月,15周年記念,周年,創業15周年を迎える
