項目,金額,備考,支払いタイミング,返金可否
仲介手数料,賃料の0.5ヶ月分〜1ヶ月分,物件により異なる,契約時,不可
敷金,賃料の0〜2ヶ月分,物件により異なる。退去時の原状回復費用に充当,契約時,退去時に精算後返金
礼金,賃料の0〜2ヶ月分,物件により異なる,契約時,不可
前家賃,賃料の1〜2ヶ月分,契約月と翌月分,契約時,不可
日割り家賃,賃料を日割り計算,月途中入居の場合,契約時,不可
管理費,物件により異なる,毎月の管理費,毎月,不可
火災保険料,20000円程度/2年,保険会社により異なる,契約時,中途解約で一部返金
保証会社初回保証料,賃料の50%程度,保証会社により異なる,契約時,不可
保証会社年間更新料,10000円程度/年,保証会社により異なる,毎年,不可
鍵交換費用,15000円〜30000円,物件により異なる,契約時,不可
24時間サポート費用,15000円〜20000円/2年,任意加入,契約時,中途解約で一部返金
室内消毒費用,15000円程度,任意加入,契約時,不可
更新料,賃料の1ヶ月分,物件により異なる。契約更新時,2年ごと,不可
更新事務手数料,10000円〜30000円,契約更新時,2年ごと,不可
退去時クリーニング費用,30000円〜50000円,専有面積により異なる,退去時,不可
駐車場代,10000円〜30000円/月,物件により異なる,毎月,不可
駐輪場代,0円〜1000円/月,物件により異なる,毎月,不可
ペット敷金,賃料の1〜2ヶ月分,ペット可物件の場合,契約時,退去時に精算後返金
短期解約違約金,賃料の1ヶ月分,契約から1年未満で解約の場合,解約時,不可
